Nome_Popular;Nome_Cientifico
Baru;Dipteryx alata Vogel
Cagaita;Eugenia dysenterica (Mart.) DC. 
Pequi;Caryocar brasiliense Cambess. 
Jatobá;Hymenaea courbaril L. 
Macaúba;Acrocomia aculeata (Jacq.) Lodd. ex Mart.
Mangaba;Hancornia speciosa Gomes
Fava d'anta/Faveiro;Dimorphandra mollis Benth.
Barbatimão;Stryphnodendron adstringens (Mart.) Coville
Copaíba;Copaifera langsdorffii Desf.
Angico;Anadenanthera Speg.
Buriti;Mauritia flexuosa L.f.
Babaçu;Attalea speciosa Mart. ex Spreng.
Baunilha-do-cerrado;Vanila edwalli
Cajuzinho-do-cerrado;Anacardium humile 
Guariroba;Syagrus oleracea
Murici;Byrsonima pachyphylla A.Juss.
Sucupira;Bowdichia virgilioides 
Araticum;Annona montana Macfad. 
Bacuri;Platonia insignis Mart.
Ingá;Inga edulis Mart.  
Jambo;Syzygium jambos (L.) Alston
Juçara;Euterpe edulis Mart.
Jenipapo;Genipa americana L.
Marmelada/marmelada-de-cachorro;Cordiera sessilis (Vell.) Kuntze 
Marmelada/marmelada-de-cachorro;Alibertia A.Rich. ex DC.
Sucupira-branca;Pterodon emarginatus Vogel
Barbatimão;Stryphnodendron adstringens (Mart.) Coville
Maracujazinho-do-cerrado;Passiflora L.
