Nome_Popular;Nome_Cientifico
Angico;Anadenanthera Speg.
Araticum;Annona montana Macfad. 
Babaçu;Attalea speciosa Mart. ex Spreng.
Bacuri;Platonia insignis Mart.
Barbatimão;Stryphnodendron adstringens (Mart.) Coville
Baru;Dipteryx alata Vogel
Baunilha-do-cerrado;Vanila edwalli
Buriti;Mauritia flexuosa L.f.
Cagaita;Eugenia dysenterica (Mart.) DC. 
Cajuzinho-do-cerrado;Anacardium humile 
Copaíba;Copaifera langsdorffii Desf.
Fava d'anta/Faveiro;Dimorphandra mollis Benth.
Guariroba;Syagrus oleracea
Ingá;Inga edulis Mart.  
Jambo;Syzygium jambos (L.) Alston
Jatobá;Hymenaea courbaril L. 
Jenipapo;Genipa americana L.
Juçara;Euterpe edulis Mart.
Macaúba;Acrocomia aculeata (Jacq.) Lodd. ex Mart.
Mangaba;Hancornia speciosa Gomes
Maracujazinho-do-cerrado;Passiflora L.
Marmelada/marmelada-de-cachorro;Cordiera sessilis (Vell.) Kuntze 
Marmelada/marmelada-de-cachorro;Alibertia A.Rich. ex DC.
Murici;Byrsonima pachyphylla A.Juss.
Pequi;Caryocar brasiliense Cambess. 
Sucupira;Bowdichia virgilioides 
Sucupira-branca;Pterodon emarginatus Vogel
